Kennziffer,Raumeinheit,Aggregat,Bevölkerung gesamt
9262,"Passau, Stadt",kreisfreie Stadt,49952
9263,"Straubing, Stadt",kreisfreie Stadt,46027
9271,Deggendorf,Landkreis,115699
9272,Freyung-Grafenau,Landkreis,77927
9273,Kelheim,Landkreis,116495
9274,Landshut,Landkreis,151819
9275,Passau,Landkreis,186284
9276,Regen,Landkreis,76265
9277,Rottal-Inn,Landkreis,118164
9278,Straubing-Bogen,Landkreis,97967
9279,Dingolfing-Landau,Landkreis,93450
9361,"Amberg, Stadt",kreisfreie Stadt,41535
9362,"Regensburg, Stadt",kreisfreie Stadt,142292
9363,"Weiden i.d.OPf., Stadt",kreisfreie Stadt,41817
9371,Amberg-Sulzbach,Landkreis,103045
9372,Cham,Landkreis,125844
9373,Neumarkt i.d.OPf.,Landkreis,128975
9374,Neustadt a.d.Waldnaab,Landkreis,95184
9375,Regensburg,Landkreis,187205
9376,Schwandorf,Landkreis,143614
9377,Tirschenreuth,Landkreis,73250
9461,"Bamberg, Stadt",kreisfreie Stadt,71952
9462,"Bayreuth, Stadt",kreisfreie Stadt,71601
9463,"Coburg, Stadt",kreisfreie Stadt,41062
9464,"Hof, Stadt",kreisfreie Stadt,44325
9471,Bamberg,Landkreis,144695
9472,Bayreuth,Landkreis,104615
9473,Coburg,Landkreis,86715
9474,Forchheim,Landkreis,113900
9475,Hof,Landkreis,96608
9476,Kronach,Landkreis,67998
9477,Kulmbach,Landkreis,72541
9478,Lichtenfels,Landkreis,66540
9479,Wunsiedel i.Fichtelgebirge,Landkreis,73403
9561,"Ansbach, Stadt",kreisfreie Stadt,40010
9562,"Erlangen, Stadt",kreisfreie Stadt,106423
9563,"Fürth, Stadt",kreisfreie Stadt,121519
9564,"Nürnberg, Stadt",kreisfreie Stadt,501072
9565,"Schwabach, Stadt",kreisfreie Stadt,39941
9571,Ansbach,Landkreis,179419
9572,Erlangen-Höchstadt,Landkreis,132830
9573,Fürth,Landkreis,113847
9574,Nürnberger Land,Landkreis,165918
9575,Neustadt a.d.Aisch-Bad Windsheim,Landkreis,97808
9576,Roth,Landkreis,123890
9577,Weißenburg-Gunzenhausen,Landkreis,92518
9661,"Aschaffenburg, Stadt",kreisfreie Stadt,68167
9662,"Schweinfurt, Stadt",kreisfreie Stadt,51610
9663,"Würzburg, Stadt",kreisfreie Stadt,124219
9671,Aschaffenburg,Landkreis,172776
9672,Bad Kissingen,Landkreis,102901
9673,Rhön-Grabfeld,Landkreis,79676
9674,Haßberge,Landkreis,84152
9675,Kitzingen,Landkreis,88492
9676,Miltenberg,Landkreis,127941
9677,Main-Spessart,Landkreis,125915
9678,Schweinfurt,Landkreis,113747
9679,Würzburg,Landkreis,159253
9761,"Augsburg, Stadt",kreisfreie Stadt,281111
9762,"Kaufbeuren, Stadt",kreisfreie Stadt,42014
9763,"Kempten (Allgäu), Stadt",kreisfreie Stadt,65624
9764,"Memmingen, Stadt",kreisfreie Stadt,42201
9771,Aichach-Friedberg,Landkreis,129294
9772,Augsburg,Landkreis,242697
9773,Dillingen a.d.Donau,Landkreis,93478
9774,Günzburg,Landkreis,121828
9775,Neu-Ulm,Landkreis,167847
9776,Lindau (Bodensee),Landkreis,79387
9777,Ostallgäu,Landkreis,135894
9778,Unterallgäu,Landkreis,138712
9779,Donau-Ries,Landkreis,130203
9780,Oberallgäu,Landkreis,150981
10041,Regionalverband Saarbrücken,Landkreis,325604
10042,Merzig-Wadern,Landkreis,102987
10043,Neunkirchen,Landkreis,133021
10044,Saarlouis,Landkreis,195632
10045,Saarpfalz-Kreis,Landkreis,143532
10046,St. Wendel,Landkreis,88259
